t0,m0,mw,x,y,z,area,dt
665805742993.5087,1.6355710128301946e+20,7.409113,369717.270194,4892820.094013,-6923.076923,1003568148.508788,31.8018798828125
666365255753.9468,9.24407370212551e+19,7.243909,613512.877148,5286869.809438,-13500.0,995888760.660196,22.614990234375
666816814278.6644,9.11449543201696e+19,7.239822,710780.959195,5332504.109898,-12000.0,851003444.456837,15.5682373046875
667172475648.4677,1.0452313293150567e+20,7.279475,126566.341253,4933440.458541,-10990.167008,1177980893.275362,24.1944580078125
667842286495.316,1.871646141319138e+20,7.448149,690189.876224,5343510.600281,-5000.0,1604129127.233746,42.8389892578125
668192155768.7692,6.1150909151297946e+19,7.124269,744882.235332,5355398.300545,-13500.0,561289085.782814,16.1112060546875
668376857604.4185,4.938058424064572e+19,7.062371,201763.899686,5020795.824221,-10000.0,687067321.909108,16.87744140625
668693563805.3274,1.599513144727898e+20,7.402659,1908244.548224,7233358.01071,-18000.0,2272080105.413655,39.1693115234375
669100710433.4132,1.547497827241519e+20,7.393087,470797.592902,5134854.954447,-11076.923077,1153559451.72601,27.3037109375
669119323411.928,3.067147763734598e+20,7.591156,313192.062738,5113596.686485,-13000.0,2708651659.25834,59.369873046875
669294553075.3668,6.988735124501775e+19,7.162932,975202.08395,5620920.286095,-6000.0,731809065.465607,22.4024658203125
669402719249.7543,4.48832216484603e+19,7.034723,562938.773849,5261500.456421,-12600.0,547344057.330461,13.397705078125
669408983603.8973,7.402052059791861e+19,7.179568,1056494.527834,5863242.797378,-12750.0,956995779.076369,21.92041015625
669453732200.2181,7.951966782518798e+19,7.200316,128526.845658,4941489.526498,-9680.059303,864916626.883466,33.016845703125
669527462797.3424,4.690302604809378e+19,7.047467,846698.066647,5428509.373716,-5400.0,595466731.93348,22.88330078125
669691009657.0969,7.370612577394956e+19,7.178336,1137587.720496,5716821.608662,-12214.285714,680921270.691513,19.3658447265625
669983636201.2571,7.547666226124923e+20,7.851875,618155.861746,5318967.873426,-13000.0,5770677111.466409,81.5328369140625
670484974761.7848,7.94662827734287e+19,7.200122,170333.954523,4989370.675057,-11392.857143,1105679943.182243,35.7808837890625
670532065496.7289,1.2471495915113501e+20,7.330612,-9521.135021,4475808.296636,-18146.341463,1565416105.627387,23.3319091796875
670850179334.8915,2.4068082364012344e+20,7.520961,335098.631547,5007385.911921,-6300.0,1787059085.505581,47.69287109375
671301385366.6443,3.3444471276665564e+21,8.282883,73644.675919,4850122.644767,-16390.243902,16945698082.13409,130.3131103515625
671596483764.272,8.907580678616416e+19,7.233173,757928.339168,5356514.130169,-13000.0,788831075.299168,19.270751953125
671826877816.6359,7.83417899128575e+20,7.862662,323489.230943,5115747.123715,-7500.0,5551992561.544101,113.6439208984375
671868152990.4417,4.418449760614171e+19,7.03018,1006813.065594,5656275.917939,-9000.0,552441315.242448,15.63037109375
671971162387.206,4.676815298832418e+19,7.046633,1000948.779366,5778539.00559,-7500.0,737963703.015133,32.2681884765625
